Date,Price,Open,High,Low,Change %
31-Jan-17,121.4,121.72,121.78,121.3,-0.22%
30-Jan-17,121.67,123.06,123.22,121.35,-0.98%
29-Jan-17,122.88,123.06,123.15,122.8,-0.19%
27-Jan-17,123.12,122.31,123.39,122.16,0.62%
26-Jan-17,122.36,121.69,122.72,121.61,0.49%
25-Jan-17,121.76,122.1,122.32,121.56,-0.29%
24-Jan-17,122.11,121.27,122.23,121.11,0.65%
23-Jan-17,121.32,122.4,122.55,121.07,-1.12%
20-Jan-17,122.69,122.48,123.02,122.21,0.16%
19-Jan-17,122.5,121.84,122.77,121.66,0.50%
18-Jan-17,121.89,120.64,122,120.52,1.01%
17-Jan-17,120.67,121.03,121.43,120.49,-0.34%
16-Jan-17,121.08,121.54,121.72,120.71,-0.68%
13-Jan-17,121.91,121.7,122.47,121.54,0.15%
12-Jan-17,121.73,122.09,122.3,121.13,-0.34%
11-Jan-17,122.14,122.17,122.61,121.15,-0.04%
10-Jan-17,122.19,122.63,123.02,122.04,-0.41%
9-Jan-17,122.69,123.2,123.75,122.36,-0.38%
6-Jan-17,123.16,122.3,123.48,122.05,0.65%
5-Jan-17,122.36,122.94,123.17,121.92,-0.52%
4-Jan-17,123,122.48,123.19,122.33,0.38%
3-Jan-17,122.54,122.9,123.37,122.21,-0.31%
2-Jan-17,122.92,123.03,123.58,122.74,-0.01%
30-Dec-16,122.93,122.24,123.89,122.09,0.53%
29-Dec-16,122.28,122.06,122.39,121.49,0.15%
28-Dec-16,122.1,122.74,123.28,121.77,-0.56%
27-Dec-16,122.79,122.35,123.06,122.27,0.29%
26-Dec-16,122.43,122.61,122.8,122.11,-0.23%
23-Dec-16,122.71,122.62,122.84,122.32,0.03%
22-Dec-16,122.67,122.49,123.22,122.36,0.11%
21-Dec-16,122.54,122.39,122.88,121.98,0.09%
20-Dec-16,122.43,121.79,122.84,121.66,0.52%
19-Dec-16,121.8,123.1,123.28,121.62,-1.22%
16-Dec-16,123.31,123.06,123.68,122.77,0.20%
15-Dec-16,123.07,123.26,124.13,122.49,-0.20%
14-Dec-16,123.32,122.36,123.44,122.07,0.74%
13-Dec-16,122.41,122.3,122.83,122.01,0.07%
12-Dec-16,122.32,121.56,122.93,121.31,0.35%
9-Dec-16,121.89,121.02,121.91,120.9,0.69%
8-Dec-16,121.06,122.28,123.36,120.83,-1.04%
7-Dec-16,122.33,122.17,122.62,121.96,0.11%
6-Dec-16,122.2,122.51,123,121.85,-0.28%
5-Dec-16,122.54,121.13,123.23,118.63,1.09%
2-Dec-16,121.22,121.59,121.95,120.8,-0.35%
1-Dec-16,121.65,121.13,121.84,120.77,0.38%
30-Nov-16,121.19,119.64,121.33,119.37,1.27%
29-Nov-16,119.67,118.77,120,118.46,0.72%
28-Nov-16,118.81,119.75,120,118.63,-0.76%
25-Nov-16,119.72,119.58,120.2,119.23,0.09%
24-Nov-16,119.61,118.67,119.91,118.42,0.73%
23-Nov-16,118.74,118.08,119.01,117.64,0.53%
22-Nov-16,118.11,117.75,118.18,117.32,0.25%
21-Nov-16,117.81,117.29,118.07,117.24,0.29%
18-Nov-16,117.47,116.97,117.62,116.71,0.39%
17-Nov-16,117.01,116.59,117.31,116.18,0.34%
16-Nov-16,116.61,117.01,117.53,116.44,-0.38%
15-Nov-16,117.06,116.37,117.25,116,0.55%
14-Nov-16,116.42,115.51,116.57,115.45,0.53%
11-Nov-16,115.81,116.33,116.56,115.24,-0.47%
10-Nov-16,116.36,115.23,116.62,114.89,0.94%
9-Nov-16,115.28,115.9,116.05,113.66,-0.58%
8-Nov-16,115.95,115.28,116.04,115.06,0.54%
7-Nov-16,115.33,114.81,115.89,114.76,0.37%
4-Nov-16,114.91,114.34,114.94,114.09,0.47%
3-Nov-16,114.37,114.61,114.81,113.96,-0.24%
2-Nov-16,114.64,115.08,115.2,114.3,-0.43%
1-Nov-16,115.14,115.07,115.73,114.76,0.03%
31-Oct-16,115.1,115,115.28,114.55,0.05%
28-Oct-16,115.04,114.7,115.38,114.52,0.27%
27-Oct-16,114.73,113.92,114.89,113.65,0.67%
26-Oct-16,113.97,113.46,114.23,113.21,0.43%
25-Oct-16,113.48,113.32,113.94,113.23,0.10%
24-Oct-16,113.37,112.98,113.62,112.77,0.32%
21-Oct-16,113.01,113.56,113.88,112.56,-0.54%
20-Oct-16,113.62,113.48,114.55,113.33,0.09%
19-Oct-16,113.52,114.02,114.18,113.08,-0.46%
18-Oct-16,114.05,114.26,114.71,113.91,-0.20%
17-Oct-16,114.28,114.26,114.6,113.98,-0.03%
14-Oct-16,114.31,114.63,115.08,114.15,-0.30%
13-Oct-16,114.65,114.66,115.18,113.87,-0.06%
12-Oct-16,114.72,114.38,115.23,113.98,0.25%
11-Oct-16,114.43,115.37,115.81,113.96,-0.84%
10-Oct-16,115.4,115.2,115.77,115,0.10%
7-Oct-16,115.28,115.86,116.03,115,-0.53%
6-Oct-16,115.89,115.92,116.28,115.68,-0.09%
5-Oct-16,115.99,115.25,116.29,115.07,0.60%
4-Oct-16,115.3,113.89,115.41,113.8,1.18%
3-Oct-16,113.95,113.82,114.15,113.58,0.03%
30-Sep-16,113.92,113.35,114.13,112.54,0.48%
