Date,Price,Open,High,Low,Change %
31-Jan-17,1.0697,1.0708,1.0713,1.0691,0.02%
30-Jan-17,1.0695,1.0689,1.0742,1.0617,-0.21%
29-Jan-17,1.0718,1.0723,1.0723,1.0708,0.18%
27-Jan-17,1.0699,1.068,1.0729,1.0656,0.16%
26-Jan-17,1.0682,1.0744,1.0767,1.0655,-0.61%
25-Jan-17,1.0748,1.073,1.0773,1.0709,0.16%
24-Jan-17,1.0731,1.0762,1.0775,1.0717,-0.32%
23-Jan-17,1.0765,1.0683,1.0773,1.0682,0.58%
20-Jan-17,1.0703,1.0663,1.0713,1.0623,0.37%
19-Jan-17,1.0664,1.0628,1.0677,1.0587,0.31%
18-Jan-17,1.0631,1.0712,1.0716,1.0624,-0.77%
17-Jan-17,1.0714,1.0598,1.0719,1.0593,1.05%
16-Jan-17,1.0603,1.0615,1.0638,1.0577,-0.39%
13-Jan-17,1.0644,1.0609,1.0674,1.0595,0.29%
12-Jan-17,1.0613,1.058,1.0687,1.057,0.29%
11-Jan-17,1.0582,1.0554,1.0624,1.0452,0.27%
10-Jan-17,1.0554,1.0571,1.0628,1.0549,-0.19%
9-Jan-17,1.0574,1.0537,1.0584,1.0508,0.39%
6-Jan-17,1.0533,1.0603,1.0624,1.052,-0.70%
5-Jan-17,1.0607,1.0489,1.0619,1.0478,1.13%
4-Jan-17,1.0488,1.0403,1.0501,1.0387,0.79%
3-Jan-17,1.0406,1.0453,1.0492,1.0339,-0.51%
2-Jan-17,1.0459,1.0529,1.0534,1.0446,-0.54%
30-Dec-16,1.0516,1.0489,1.0654,1.0479,0.23%
29-Dec-16,1.0492,1.0416,1.0494,1.0404,0.77%
28-Dec-16,1.0412,1.0454,1.0483,1.0369,-0.43%
27-Dec-16,1.0457,1.0451,1.0465,1.0429,0.01%
26-Dec-16,1.0456,1.0451,1.0473,1.0436,0.00%
23-Dec-16,1.0456,1.0435,1.047,1.0424,0.18%
22-Dec-16,1.0437,1.0421,1.0501,1.0419,0.12%
21-Dec-16,1.0425,1.0388,1.0453,1.038,0.37%
20-Dec-16,1.0387,1.0403,1.0419,1.035,-0.14%
19-Dec-16,1.0402,1.0442,1.0479,1.039,-0.47%
16-Dec-16,1.0451,1.0415,1.0477,1.0398,0.36%
15-Dec-16,1.0414,1.0534,1.0544,1.0364,-1.16%
14-Dec-16,1.0536,1.0625,1.0671,1.0494,-0.86%
13-Dec-16,1.0627,1.0633,1.0668,1.0601,-0.08%
12-Dec-16,1.0635,1.055,1.0652,1.0523,0.69%
9-Dec-16,1.0562,1.0615,1.0632,1.0528,-0.50%
8-Dec-16,1.0615,1.0753,1.0873,1.0595,-1.28%
7-Dec-16,1.0753,1.0719,1.077,1.0707,0.32%
