Date,Price,Open,High,Low,Change %
31-Jan-17,0.7296,0.7295,0.7298,0.7278,0.15%
30-Jan-17,0.7285,0.7267,0.7298,0.7234,0.18%
29-Jan-17,0.7272,0.7276,0.728,0.7269,0.10%
27-Jan-17,0.7265,0.7244,0.7294,0.723,0.26%
26-Jan-17,0.7246,0.7296,0.7317,0.722,-0.71%
25-Jan-17,0.7298,0.7245,0.7311,0.7222,0.70%
24-Jan-17,0.7247,0.7231,0.7279,0.7207,0.19%
23-Jan-17,0.7233,0.7157,0.7239,0.7145,0.89%
20-Jan-17,0.7169,0.7187,0.7232,0.7127,-0.28%
19-Jan-17,0.7189,0.7121,0.7204,0.7116,0.91%
18-Jan-17,0.7124,0.7213,0.722,0.7116,-1.26%
17-Jan-17,0.7215,0.71,0.7221,0.7094,1.58%
16-Jan-17,0.7103,0.7098,0.7152,0.7074,-0.39%
13-Jan-17,0.7131,0.7095,0.7146,0.7069,0.48%
12-Jan-17,0.7097,0.7053,0.715,0.7045,0.58%
11-Jan-17,0.7056,0.6988,0.7089,0.6959,0.94%
10-Jan-17,0.699,0.7014,0.7049,0.6956,-0.37%
9-Jan-17,0.7016,0.6954,0.7034,0.6948,0.82%
6-Jan-17,0.6959,0.7023,0.7047,0.695,-0.94%
5-Jan-17,0.7025,0.6969,0.7038,0.6952,0.77%
4-Jan-17,0.6971,0.6916,0.6976,0.6889,0.78%
3-Jan-17,0.6917,0.6922,0.6976,0.6883,-0.12%
2-Jan-17,0.6925,0.6934,0.6965,0.6908,-0.32%
30-Dec-16,0.6947,0.6961,0.6983,0.6933,-0.27%
29-Dec-16,0.6966,0.6918,0.6975,0.6914,0.66%
28-Dec-16,0.692,0.6888,0.6941,0.6886,0.44%
27-Dec-16,0.689,0.69,0.6908,0.6877,-0.17%
26-Dec-16,0.6902,0.6878,0.6935,0.6869,0.31%
23-Dec-16,0.6881,0.6902,0.6916,0.6859,-0.35%
22-Dec-16,0.6905,0.6897,0.6927,0.6885,0.09%
21-Dec-16,0.6899,0.6914,0.6949,0.6884,-0.25%
20-Dec-16,0.6916,0.6927,0.6935,0.6879,-0.19%
19-Dec-16,0.6929,0.6955,0.6991,0.6921,-0.59%
16-Dec-16,0.697,0.7036,0.7067,0.6927,-0.97%
15-Dec-16,0.7038,0.7117,0.7124,0.7006,-1.12%
14-Dec-16,0.7118,0.7201,0.724,0.71,-1.18%
13-Dec-16,0.7203,0.7201,0.7233,0.7176,-0.01%
12-Dec-16,0.7204,0.7141,0.7211,0.7111,0.98%
9-Dec-16,0.7134,0.7173,0.7193,0.7121,-0.56%
8-Dec-16,0.7174,0.7163,0.7224,0.7141,0.13%
7-Dec-16,0.7165,0.7118,0.7169,0.7098,0.63%
6-Dec-16,0.712,0.7138,0.7163,0.7093,-0.29%
5-Dec-16,0.7141,0.7119,0.7158,0.7065,0.06%
2-Dec-16,0.7137,0.7087,0.716,0.7081,0.68%
1-Dec-16,0.7089,0.7081,0.7108,0.704,0.08%
30-Nov-16,0.7083,0.7123,0.7171,0.7065,-0.60%
29-Nov-16,0.7126,0.7071,0.7135,0.7062,0.74%
28-Nov-16,0.7074,0.7031,0.7105,0.702,0.44%
25-Nov-16,0.7043,0.6998,0.7065,0.698,0.57%
24-Nov-16,0.7003,0.7011,0.7022,0.6968,-0.13%
23-Nov-16,0.7012,0.706,0.7081,0.6989,-0.72%
22-Nov-16,0.7063,0.7063,0.7089,0.7028,-0.04%
21-Nov-16,0.7066,0.7013,0.7079,0.6978,0.70%
18-Nov-16,0.7017,0.7024,0.7064,0.6996,-0.13%
17-Nov-16,0.7026,0.7068,0.7117,0.7009,-0.62%
16-Nov-16,0.707,0.7097,0.7118,0.7031,-0.45%
15-Nov-16,0.7102,0.7116,0.7147,0.7066,-0.21%
14-Nov-16,0.7117,0.7108,0.7143,0.7065,-0.03%
