Date,Price,Open,High,Low,Change %
31-Jan-17,1.3095,1.3104,1.3111,1.3091,-0.17%
30-Jan-17,1.3117,1.3146,1.3171,1.3074,-0.11%
29-Jan-17,1.3131,1.3139,1.3142,1.3126,-0.17%
27-Jan-17,1.3153,1.3086,1.3155,1.3084,0.48%
26-Jan-17,1.309,1.3067,1.3132,1.3051,0.15%
25-Jan-17,1.3071,1.3157,1.3167,1.3058,-0.67%
24-Jan-17,1.3159,1.3236,1.33,1.3105,-0.59%
23-Jan-17,1.3237,1.3322,1.3335,1.3219,-0.64%
20-Jan-17,1.3322,1.3318,1.3388,1.3282,0.02%
19-Jan-17,1.3319,1.3267,1.3354,1.325,0.37%
18-Jan-17,1.327,1.304,1.3272,1.3037,1.74%
17-Jan-17,1.3043,1.3172,1.3191,1.3016,-1.00%
16-Jan-17,1.3175,1.3109,1.3189,1.3105,0.47%
13-Jan-17,1.3113,1.3145,1.3169,1.311,-0.24%
12-Jan-17,1.3145,1.3177,1.3188,1.3028,-0.25%
11-Jan-17,1.3178,1.323,1.3296,1.3118,-0.41%
10-Jan-17,1.3232,1.3215,1.3259,1.3189,0.12%
9-Jan-17,1.3216,1.3235,1.3278,1.3194,-0.15%
6-Jan-17,1.3236,1.3223,1.3269,1.3174,0.08%
5-Jan-17,1.3225,1.33,1.3314,1.319,-0.57%
4-Jan-17,1.3301,1.3429,1.3458,1.328,-0.96%
3-Jan-17,1.343,1.344,1.3463,1.3396,-0.06%
2-Jan-17,1.3438,1.3436,1.3453,1.3386,0.04%
30-Dec-16,1.3433,1.3502,1.3511,1.3399,-0.52%
29-Dec-16,1.3503,1.3558,1.3566,1.3478,-0.43%
28-Dec-16,1.3561,1.3575,1.3601,1.3537,-0.10%
27-Dec-16,1.3575,1.3506,1.3581,1.3504,0.47%
26-Dec-16,1.3511,1.3528,1.355,1.3474,-0.18%
23-Dec-16,1.3536,1.3482,1.3558,1.3475,0.39%
22-Dec-16,1.3483,1.3411,1.3521,1.3408,0.52%
21-Dec-16,1.3413,1.3366,1.3429,1.3354,0.33%
20-Dec-16,1.3369,1.3405,1.3436,1.3355,-0.29%
19-Dec-16,1.3408,1.3338,1.3423,1.3315,0.54%
16-Dec-16,1.3336,1.3333,1.3396,1.3314,0.00%
15-Dec-16,1.3336,1.328,1.3419,1.3265,0.41%
14-Dec-16,1.3281,1.3129,1.3296,1.3078,1.16%
13-Dec-16,1.3129,1.3129,1.3142,1.3098,-0.02%
12-Dec-16,1.3131,1.315,1.3165,1.3104,-0.36%
9-Dec-16,1.3179,1.3187,1.3216,1.3148,-0.10%
8-Dec-16,1.3192,1.3231,1.3253,1.318,-0.31%
7-Dec-16,1.3233,1.3275,1.33,1.3218,-0.33%
6-Dec-16,1.3277,1.3269,1.3313,1.3248,0.07%
5-Dec-16,1.3268,1.3293,1.3357,1.3231,-0.20%
2-Dec-16,1.3294,1.3314,1.3322,1.3251,-0.16%
1-Dec-16,1.3315,1.3438,1.3442,1.3296,-0.89%
30-Nov-16,1.3435,1.3429,1.3465,1.3353,0.01%
29-Nov-16,1.3433,1.341,1.348,1.3396,0.16%
28-Nov-16,1.3412,1.3518,1.3542,1.3393,-0.87%
25-Nov-16,1.353,1.3484,1.3536,1.345,0.29%
24-Nov-16,1.3491,1.349,1.354,1.3472,0.02%
23-Nov-16,1.3488,1.3437,1.3518,1.342,0.34%
22-Nov-16,1.3442,1.3417,1.3468,1.3374,0.18%
21-Nov-16,1.3418,1.3498,1.3515,1.3382,-0.61%
18-Nov-16,1.3501,1.3519,1.3566,1.3488,-0.16%
17-Nov-16,1.3522,1.3444,1.3529,1.3397,0.59%
16-Nov-16,1.3443,1.3447,1.3506,1.3401,-0.04%
15-Nov-16,1.3449,1.3553,1.3562,1.3439,-0.79%
14-Nov-16,1.3556,1.3522,1.359,1.349,0.10%
11-Nov-16,1.3543,1.3469,1.3551,1.345,0.54%
10-Nov-16,1.347,1.3421,1.351,1.3381,0.37%
9-Nov-16,1.3421,1.3285,1.3526,1.326,1.00%
8-Nov-16,1.3288,1.3362,1.3392,1.3279,-0.55%
7-Nov-16,1.3361,1.3403,1.3419,1.3309,-0.32%
4-Nov-16,1.3404,1.3396,1.3466,1.3382,0.06%
3-Nov-16,1.3396,1.3391,1.3404,1.3357,0.04%
2-Nov-16,1.339,1.3386,1.3424,1.3355,0.00%
1-Nov-16,1.339,1.3405,1.3427,1.3349,-0.15%
31-Oct-16,1.341,1.3393,1.3431,1.3371,0.09%
