Date,Price,Open,High,Low,Change %
31-Jan-17,0.9949,0.9945,0.9957,0.9938,-0.03%
30-Jan-17,0.9952,0.9985,1.0046,0.9929,-0.21%
29-Jan-17,0.9973,0.9966,0.9982,0.9965,-0.26%
27-Jan-17,0.9999,0.9995,1.0035,0.9966,0.00%
26-Jan-17,0.9999,0.9992,1.0027,0.9964,0.04%
25-Jan-17,0.9995,1.0008,1.0028,0.9963,-0.15%
24-Jan-17,1.001,0.9961,1.0022,0.9956,0.45%
23-Jan-17,0.9965,1.0026,1.003,0.9956,-0.53%
20-Jan-17,1.0018,1.0059,1.0099,1.0009,-0.44%
19-Jan-17,1.0062,1.0072,1.0123,1.0038,-0.12%
18-Jan-17,1.0074,1.0016,1.0079,1.0002,0.59%
17-Jan-17,1.0015,1.0108,1.0129,0.9992,-1.08%
16-Jan-17,1.0124,1.0092,1.0137,1.0072,0.33%
13-Jan-17,1.0091,1.0104,1.0129,1.0042,-0.18%
12-Jan-17,1.0109,1.014,1.0151,1.0052,-0.31%
11-Jan-17,1.014,1.0167,1.0252,1.0097,-0.29%
10-Jan-17,1.0169,1.0151,1.0184,1.0107,0.18%
9-Jan-17,1.0151,1.0165,1.0201,1.0137,-0.31%
6-Jan-17,1.0183,1.0096,1.0187,1.009,0.85%
5-Jan-17,1.0097,1.02,1.0229,1.0083,-1.07%
4-Jan-17,1.0206,1.0267,1.0297,1.0197,-0.65%
3-Jan-17,1.0273,1.0232,1.0339,1.0203,0.37%
2-Jan-17,1.0235,1.0196,1.0245,1.0166,0.50%
30-Dec-16,1.0184,1.0222,1.0243,1.0061,-0.44%
29-Dec-16,1.0229,1.0276,1.0292,1.0202,-0.53%
28-Dec-16,1.0284,1.0273,1.0323,1.0259,0.03%
27-Dec-16,1.0281,1.0266,1.0305,1.0259,0.09%
26-Dec-16,1.0272,1.0263,1.0284,1.0241,0.05%
23-Dec-16,1.0267,1.0255,1.0287,1.0239,0.10%
22-Dec-16,1.0257,1.0267,1.0277,1.0214,-0.11%
21-Dec-16,1.0268,1.0282,1.0301,1.0223,-0.21%
20-Dec-16,1.029,1.027,1.0327,1.0255,0.17%
19-Dec-16,1.0273,1.0265,1.0288,1.0216,0.12%
16-Dec-16,1.0261,1.0296,1.0321,1.0238,-0.38%
15-Dec-16,1.03,1.0197,1.0346,1.0186,0.95%
14-Dec-16,1.0203,1.0118,1.0224,1.0077,0.81%
13-Dec-16,1.0121,1.013,1.0148,1.0096,-0.13%
12-Dec-16,1.0134,1.0171,1.0203,1.0119,-0.45%
9-Dec-16,1.018,1.0161,1.0218,1.0149,0.16%
8-Dec-16,1.0164,1.007,1.0182,1.0018,0.89%
7-Dec-16,1.0074,1.0096,1.0114,1.006,-0.28%
6-Dec-16,1.0102,1.0068,1.0117,1.0045,0.37%
5-Dec-16,1.0065,1.0091,1.0188,1.0045,-0.49%
2-Dec-16,1.0115,1.0102,1.0127,1.007,0.08%
1-Dec-16,1.0107,1.0167,1.0188,1.0094,-0.64%
30-Nov-16,1.0172,1.0116,1.0205,1.0103,0.54%
29-Nov-16,1.0117,1.0127,1.0184,1.0103,-0.14%
28-Nov-16,1.0131,1.0123,1.0171,1.0072,-0.04%
25-Nov-16,1.0135,1.0167,1.0193,1.0097,-0.35%
24-Nov-16,1.0171,1.0165,1.0193,1.0141,0.06%
23-Nov-16,1.0165,1.0108,1.0187,1.0085,0.54%
22-Nov-16,1.011,1.0079,1.0136,1.0064,0.22%
21-Nov-16,1.0088,1.0094,1.0121,1.0069,-0.12%
18-Nov-16,1.01,1.007,1.0131,1.0055,0.29%
17-Nov-16,1.0071,1.0019,1.0083,0.9989,0.52%
16-Nov-16,1.0019,1.0013,1.0059,0.9979,0.02%
15-Nov-16,1.0017,0.9978,1.003,0.9923,0.37%
14-Nov-16,0.998,0.9869,1.0002,0.9868,0.96%
11-Nov-16,0.9885,0.9862,0.9905,0.9826,0.15%
10-Nov-16,0.987,0.9843,0.99,0.9816,0.27%
9-Nov-16,0.9843,0.9772,0.9851,0.9542,0.65%
8-Nov-16,0.9779,0.9741,0.9799,0.9731,0.38%
7-Nov-16,0.9742,0.9682,0.9791,0.9682,0.58%
4-Nov-16,0.9686,0.9735,0.9764,0.9675,-0.55%
3-Nov-16,0.974,0.9731,0.9762,0.9691,0.07%
2-Nov-16,0.9733,0.9752,0.9768,0.9691,-0.22%
1-Nov-16,0.9754,0.9883,0.9903,0.9724,-1.39%
31-Oct-16,0.9891,0.9865,0.9909,0.9861,0.04%
28-Oct-16,0.9887,0.9931,0.9958,0.9853,-0.49%
27-Oct-16,0.9936,0.9931,0.9956,0.9907,0.02%
26-Oct-16,0.9934,0.9941,0.996,0.9899,-0.10%
25-Oct-16,0.9944,0.9933,1.0004,0.9926,0.08%
24-Oct-16,0.9936,0.9935,0.9961,0.991,0.00%
21-Oct-16,0.9936,0.9923,0.9964,0.9917,0.08%
20-Oct-16,0.9928,0.9884,0.9939,0.9841,0.39%
19-Oct-16,0.9889,0.9896,0.9909,0.9871,-0.10%
18-Oct-16,0.9899,0.9888,0.992,0.9862,0.08%
17-Oct-16,0.9891,0.9882,0.9908,0.9867,-0.10%
14-Oct-16,0.9901,0.9857,0.991,0.9852,0.40%
13-Oct-16,0.9862,0.9906,0.9921,0.9854,-0.45%
