Date,Price,Open,High,Low,Change %
31-Jan-17,6.8817,6.8817,6.8818,6.8817,0.00%
30-Jan-17,6.8816,6.884,6.884,6.8816,-0.03%
29-Jan-17,6.884,6.8817,6.8866,6.8812,0.03%
27-Jan-17,6.8817,6.8794,6.8817,6.8792,0.00%
26-Jan-17,6.8816,6.869,6.8856,6.8685,-0.03%
25-Jan-17,6.8836,6.8558,6.8855,6.8558,0.36%
24-Jan-17,6.859,6.8379,6.8652,6.8379,0.07%
23-Jan-17,6.854,6.857,6.8605,6.8334,-0.33%
20-Jan-17,6.8765,6.858,6.8822,6.858,0.08%
19-Jan-17,6.8712,6.8599,6.88,6.8507,0.47%
18-Jan-17,6.839,6.8501,6.8741,6.8289,-0.23%
17-Jan-17,6.8546,6.899,6.9059,6.852,-0.67%
16-Jan-17,6.9009,6.8958,6.9024,6.8908,0.01%
13-Jan-17,6.9005,6.899,6.9051,6.8851,0.13%
12-Jan-17,6.8915,6.918,6.9246,6.8864,-0.67%
11-Jan-17,6.9378,6.9254,6.9379,6.922,0.24%
10-Jan-17,6.9215,6.9286,6.9343,6.918,-0.23%
9-Jan-17,6.9375,6.929,6.9381,6.929,0.24%
6-Jan-17,6.9207,6.8741,6.9404,6.8731,0.45%
5-Jan-17,6.89,6.927,6.9324,6.8679,-0.65%
4-Jan-17,6.9351,6.9541,6.9594,6.9322,-0.37%
3-Jan-17,6.961,6.9534,6.9638,6.9524,0.22%
2-Jan-17,6.9455,6.9448,6.9455,6.9447,0.01%
30-Dec-16,6.945,6.9535,6.9555,6.94,-0.15%
29-Dec-16,6.9553,6.9485,6.9576,6.948,-0.06%
28-Dec-16,6.9593,6.948,6.962,6.948,0.10%
27-Dec-16,6.9525,6.948,6.9542,6.943,0.05%
26-Dec-16,6.9489,6.943,6.9506,6.943,0.04%
23-Dec-16,6.9464,6.945,6.9532,6.941,-0.06%
22-Dec-16,6.9504,6.9421,6.9516,6.9421,0.12%
21-Dec-16,6.9421,6.947,6.9549,6.939,-0.12%
20-Dec-16,6.9505,6.947,6.9595,6.9459,-0.05%
19-Dec-16,6.9539,6.9395,6.9546,6.9395,-0.09%
16-Dec-16,6.9603,6.9488,6.9624,6.9446,0.23%
15-Dec-16,6.9443,6.9025,6.9444,6.9025,0.57%
14-Dec-16,6.9051,6.9,6.9101,6.8983,0.05%
13-Dec-16,6.9017,6.9045,6.9078,6.8975,-0.08%
12-Dec-16,6.9069,6.908,6.9187,6.9045,-0.01%
9-Dec-16,6.9077,6.8985,6.9085,6.8974,0.40%
8-Dec-16,6.8799,6.88,6.8833,6.8732,-0.01%
7-Dec-16,6.8805,6.879,6.8938,6.8765,-0.02%
6-Dec-16,6.882,6.8761,6.8821,6.8623,0.01%
5-Dec-16,6.881,6.8828,6.8933,6.8765,-0.08%
2-Dec-16,6.8865,6.8791,6.8903,6.8787,0.00%
1-Dec-16,6.8865,6.89,6.8992,6.883,0.00%
30-Nov-16,6.8868,6.8833,6.8898,6.8807,-0.14%
29-Nov-16,6.8968,6.8907,6.9021,6.89,-0.17%
28-Nov-16,6.9088,6.9042,6.909,6.8996,-0.16%
25-Nov-16,6.9198,6.92,6.9232,6.912,0.00%
24-Nov-16,6.9196,6.9195,6.9238,6.9135,-0.01%
23-Nov-16,6.9202,6.888,6.9203,6.888,0.44%
22-Nov-16,6.89,6.8918,6.8938,6.882,-0.04%
21-Nov-16,6.8928,6.887,6.9,6.8854,0.06%
18-Nov-16,6.8887,6.875,6.8929,6.875,0.15%
17-Nov-16,6.8783,6.876,6.8792,6.8665,-0.03%
16-Nov-16,6.8804,6.857,6.8804,6.857,0.31%
15-Nov-16,6.8591,6.841,6.8675,6.841,0.18%
14-Nov-16,6.8468,6.809,6.8472,6.809,0.50%
11-Nov-16,6.8125,6.8135,6.8193,6.7954,0.16%
10-Nov-16,6.8019,6.7907,6.8022,6.7886,0.32%
9-Nov-16,6.78,6.782,6.7877,6.755,-0.11%
8-Nov-16,6.7874,6.774,6.7877,6.774,0.16%
7-Nov-16,6.7766,6.7534,6.7783,6.7534,0.30%
4-Nov-16,6.7565,6.7612,6.7649,6.7533,-0.12%
3-Nov-16,6.7646,6.7544,6.7664,6.7544,0.11%
2-Nov-16,6.757,6.759,6.7678,6.7543,-0.14%
1-Nov-16,6.7665,6.7735,6.7803,6.7616,-0.14%
31-Oct-16,6.7758,6.7692,6.7758,6.768,-0.05%
28-Oct-16,6.779,6.782,6.7899,6.7753,-0.09%
27-Oct-16,6.7851,6.772,6.7851,6.772,0.21%
26-Oct-16,6.7711,6.7721,6.7747,6.7665,-0.15%
25-Oct-16,6.7812,6.7728,6.7841,6.7728,0.09%
24-Oct-16,6.7752,6.7621,6.7764,6.7621,0.13%
21-Oct-16,6.7667,6.7439,6.7672,6.7439,0.32%
20-Oct-16,6.7454,6.737,6.7454,6.734,0.11%
19-Oct-16,6.7379,6.7358,6.7414,6.735,-0.04%
18-Oct-16,6.7409,6.735,6.7418,6.7322,0.05%
17-Oct-16,6.7375,6.7299,6.7425,6.7296,0.13%
14-Oct-16,6.7288,6.7248,6.7288,6.7205,0.02%
13-Oct-16,6.7274,6.7251,6.7341,6.7212,0.13%
12-Oct-16,6.719,6.7151,6.7237,6.713,-0.04%
11-Oct-16,6.722,6.7061,6.722,6.7048,0.22%
10-Oct-16,6.7074,6.6678,6.7081,6.6678,0.54%
7-Oct-16,6.6716,6.6685,6.6716,6.6685,0.00%
6-Oct-16,6.6716,6.6685,6.6716,6.6685,0.00%
5-Oct-16,6.6716,6.6685,6.6716,6.6685,0.00%
4-Oct-16,6.6716,6.6685,6.6716,6.6685,0.00%
3-Oct-16,6.6716,6.6685,6.6716,6.6685,0.00%
30-Sep-16,6.6716,6.665,6.6739,6.6635,0.06%
29-Sep-16,6.6673,6.673,6.6753,6.6628,-0.12%
28-Sep-16,6.6752,6.6696,6.6755,6.6652,0.08%
27-Sep-16,6.6701,6.6683,6.6708,6.665,0.02%
26-Sep-16,6.6689,6.6726,6.6732,6.6683,-0.01%
23-Sep-16,6.6694,6.6656,6.6715,6.663,0.07%
22-Sep-16,6.6648,6.662,6.6732,6.662,-0.11%
21-Sep-16,6.6721,6.6716,6.6759,6.6694,0.00%
20-Sep-16,6.672,6.6681,6.6745,6.665,0.05%
19-Sep-16,6.6685,6.6706,6.6755,6.6604,-0.07%
16-Sep-16,6.6734,6.6707,6.6734,6.6707,0.00%
15-Sep-16,6.6734,6.6707,6.6734,6.6707,0.00%
