Date,Price,Open,High,Low,Change %
31-Jan-17,1.2513,1.2502,1.2519,1.2492,0.22%
30-Jan-17,1.2486,1.2548,1.2604,1.2462,-0.87%
29-Jan-17,1.2595,1.2586,1.2601,1.2559,0.32%
27-Jan-17,1.2555,1.259,1.2614,1.2514,-0.30%
26-Jan-17,1.2593,1.2631,1.268,1.2554,-0.32%
25-Jan-17,1.2634,1.252,1.2643,1.2488,0.90%
24-Jan-17,1.2521,1.2534,1.2546,1.2415,-0.11%
23-Jan-17,1.2535,1.2358,1.2546,1.2352,1.29%
20-Jan-17,1.2375,1.2341,1.2381,1.2259,0.27%
19-Jan-17,1.2342,1.2256,1.2343,1.225,0.68%
18-Jan-17,1.2259,1.2412,1.2417,1.225,-1.24%
17-Jan-17,1.2413,1.2043,1.2415,1.2014,3.03%
16-Jan-17,1.2048,1.2058,1.209,1.1979,-1.08%
13-Jan-17,1.2179,1.2155,1.2234,1.2119,0.13%
12-Jan-17,1.2163,1.2206,1.2318,1.2148,-0.40%
11-Jan-17,1.2212,1.2175,1.227,1.2036,0.29%
10-Jan-17,1.2177,1.2161,1.2191,1.2104,0.12%
9-Jan-17,1.2162,1.2266,1.2273,1.2122,-1.02%
6-Jan-17,1.2287,1.2417,1.2437,1.2257,-1.05%
5-Jan-17,1.2418,1.2321,1.2436,1.2267,0.78%
4-Jan-17,1.2322,1.2232,1.2356,1.2217,0.68%
3-Jan-17,1.2239,1.2272,1.2308,1.2198,-0.29%
2-Jan-17,1.2275,1.2344,1.2354,1.2267,-0.51%
30-Dec-16,1.2338,1.226,1.2389,1.2242,0.61%
29-Dec-16,1.2263,1.2222,1.228,1.2206,0.30%
28-Dec-16,1.2226,1.2267,1.2298,1.2197,-0.37%
27-Dec-16,1.2271,1.2283,1.229,1.2236,-0.14%
26-Dec-16,1.2288,1.2262,1.2314,1.2257,-0.03%
23-Dec-16,1.2292,1.228,1.2301,1.2226,0.07%
22-Dec-16,1.2283,1.2349,1.2379,1.2273,-0.57%
21-Dec-16,1.2354,1.2362,1.2393,1.2321,-0.11%
20-Dec-16,1.2367,1.2399,1.2414,1.2311,-0.27%
19-Dec-16,1.24,1.2491,1.2504,1.2353,-0.78%
16-Dec-16,1.2497,1.2417,1.2519,1.2379,0.63%
15-Dec-16,1.2419,1.2556,1.2572,1.2372,-1.16%
14-Dec-16,1.2565,1.2658,1.2721,1.2527,-0.73%
13-Dec-16,1.2658,1.2673,1.2729,1.2649,-0.17%
12-Dec-16,1.268,1.257,1.2704,1.2551,0.83%
9-Dec-16,1.2576,1.2586,1.2623,1.2548,-0.08%
8-Dec-16,1.2586,1.2624,1.2706,1.2545,-0.29%
7-Dec-16,1.2622,1.2676,1.2685,1.2567,-0.43%
6-Dec-16,1.2677,1.2727,1.2776,1.2653,-0.44%
5-Dec-16,1.2733,1.2725,1.2746,1.2623,0.03%
2-Dec-16,1.2729,1.259,1.2747,1.2565,1.08%
1-Dec-16,1.2593,1.2504,1.2697,1.2498,0.70%
30-Nov-16,1.2505,1.249,1.2524,1.2416,0.12%
29-Nov-16,1.249,1.2412,1.2527,1.2384,0.60%
28-Nov-16,1.2415,1.2468,1.2533,1.2382,-0.49%
25-Nov-16,1.2476,1.2448,1.2491,1.2413,0.19%
24-Nov-16,1.2452,1.2437,1.2499,1.2397,0.10%
23-Nov-16,1.244,1.2423,1.247,1.2357,0.13%
22-Nov-16,1.2424,1.2495,1.2514,1.2381,-0.55%
21-Nov-16,1.2493,1.2344,1.2514,1.2308,1.19%
18-Nov-16,1.2346,1.2416,1.2438,1.2297,-0.56%
17-Nov-16,1.2416,1.2441,1.2507,1.2405,-0.22%
16-Nov-16,1.2443,1.2454,1.2504,1.2408,-0.10%
15-Nov-16,1.2456,1.2485,1.2531,1.2378,-0.25%
14-Nov-16,1.2487,1.2591,1.2614,1.2439,-0.91%
11-Nov-16,1.2602,1.2552,1.2675,1.2521,0.37%
10-Nov-16,1.2555,1.2404,1.2585,1.2373,1.20%
9-Nov-16,1.2406,1.2371,1.2549,1.2349,0.20%
8-Nov-16,1.2381,1.239,1.2444,1.2358,-0.14%
7-Nov-16,1.2398,1.2511,1.2527,1.2377,-0.97%
4-Nov-16,1.2519,1.246,1.2559,1.2446,0.46%
3-Nov-16,1.2462,1.23,1.2496,1.2293,1.29%
2-Nov-16,1.2303,1.2237,1.236,1.2218,0.49%
1-Nov-16,1.2243,1.2235,1.2282,1.2204,-0.01%
31-Oct-16,1.2244,1.2177,1.2251,1.2141,0.48%
28-Oct-16,1.2185,1.2159,1.2217,1.2112,0.18%
27-Oct-16,1.2163,1.2247,1.2271,1.2147,-0.69%
26-Oct-16,1.2248,1.2187,1.2251,1.2152,0.49%
25-Oct-16,1.2188,1.2235,1.2245,1.2081,-0.42%
24-Oct-16,1.2239,1.222,1.2253,1.2182,0.03%
21-Oct-16,1.2235,1.2252,1.2263,1.2169,-0.14%
20-Oct-16,1.2252,1.2283,1.23,1.2208,-0.28%
19-Oct-16,1.2286,1.2292,1.2334,1.2252,-0.09%
18-Oct-16,1.2297,1.2179,1.2327,1.2173,0.93%
17-Oct-16,1.2184,1.2186,1.2204,1.2134,-0.02%
14-Oct-16,1.2187,1.2257,1.2263,1.2166,-0.55%
13-Oct-16,1.2255,1.2206,1.2275,1.213,0.38%
12-Oct-16,1.2208,1.212,1.2328,1.2102,0.70%
11-Oct-16,1.2123,1.2361,1.2377,1.2086,-1.94%
10-Oct-16,1.2363,1.243,1.2453,1.2342,-0.57%
7-Oct-16,1.2434,1.2614,1.2626,1.145,-1.44%
6-Oct-16,1.2616,1.2744,1.2761,1.2599,-1.04%
5-Oct-16,1.2749,1.2727,1.2772,1.2683,0.16%
4-Oct-16,1.2728,1.284,1.2862,1.2715,-0.90%
3-Oct-16,1.2843,1.2938,1.2948,1.2815,-1.02%
30-Sep-16,1.2976,1.2967,1.3023,1.2935,0.05%
29-Sep-16,1.297,1.3014,1.306,1.295,-0.38%
28-Sep-16,1.3019,1.3021,1.3033,1.2977,-0.02%
27-Sep-16,1.3022,1.2973,1.3027,1.2934,0.36%
26-Sep-16,1.2975,1.2951,1.2988,1.2914,0.01%
23-Sep-16,1.2974,1.3069,1.309,1.2912,-0.80%
22-Sep-16,1.3078,1.3031,1.3125,1.3023,0.39%
21-Sep-16,1.3027,1.2987,1.3048,1.2943,0.29%
20-Sep-16,1.2989,1.3028,1.3064,1.2945,-0.29%
19-Sep-16,1.3027,1.2993,1.3093,1.299,0.20%
16-Sep-16,1.3001,1.3235,1.3255,1.2992,-1.79%
15-Sep-16,1.3238,1.3231,1.3279,1.3178,0.02%
14-Sep-16,1.3235,1.3189,1.3242,1.3136,0.30%
13-Sep-16,1.3195,1.3335,1.3344,1.3165,-1.07%
12-Sep-16,1.3338,1.3268,1.3351,1.3234,0.54%
9-Sep-16,1.3267,1.3294,1.3341,1.3237,-0.22%
